,LABEL,Date,Source,Title,Description,Content,URL,Source Leaning
10,student loans,2025-02-14,Forbes,Will Student Loans Be Cancelled If Trump Shuts Down Education Department,Could borrowers see their debts wiped out if the DOE ceases to exist or would they simply find themselves under new management,What Happens to Student Loans If Trump Abolishes the Department of Education Getty Images What Happens to Student Loans If Trump Abolishes the Department of Education Donald Trump has made no se chars,https://www.forbes.com/sites/shaharziv/2025/02/14/will-student-loans-be-cancelled-if-trump-shuts-down-education-department/,Center
11,student loans,2025-01-21,Cheezburger.com,Reckless brother demands sister co sign on new luxury car after driving himself to bankruptcy I m scared he ll ruin my good credit I have my own bills to pay,Family and finances finances AND family The ultimate recipe for awkward conversations simmering resentment and the occasional shouting match You really need to be a seasoned adrenaline fiend to take the kind of gamble that is mixing money with siblings,Family and finances finances AND family The ultimate recipe for awkward conversations simmering resentment and the occasional shouting match You really need to be a seasoned adrenaline fiend to t chars,https://cheezburger.com/38819589/reckless-brother-demands-sister-co-sign-on-new-luxury-car-after-driving-himself-to-bankruptcy-im,Not known
12,student loans,2025-01-28,Biztoc.com,Medicaid SBA loans student loans SNAP What is and isn t affected by Trump s freeze on federal grants,Monday s memo from the White House Office of Management and Budget OMB pausing federal grants and loans set off a scramble in Washington and across the nation as administrators and individuals tried to figure out how the order would affect funding from the,Mondays memo from the White House Office of Management and Budget OMB pausing federal grants and loans set off a scramble in Washington and across the nation as administrators and individuals tried chars,https://biztoc.com/x/ec19f0e6c7206a9a,Not known
13,student loans,2025-02-08,Biztoc.com,Looming billion Pell Grant shortfall poses a new threat for college aid,College advocates breathed a sigh of relief when the U S Department of Education said the Trump Administration s federal funding freeze would not affect federal Pell Grants and student loans Nearly of all undergraduates receive some type of financial,College advocates breathed a sigh of relief when the U S Department of Education said the Trump Administration s federal funding freeze would not affect federal Pell Grants and student loans Nearl chars,https://biztoc.com/x/07be15e970d90164,Not known
14,student loans,2025-01-17,NPR,Student loans saving accounts and goodbye to artificial red dye,It s Indicators of the Week Our weekly look at some of the most fascinating numbers from the news On today s episode we examine three measures the Biden administration is squeezing in before the clock runs out Those include student loan cancellations,It s Indicators of the Week Our weekly look at some of the most fascinating numbers from the news On today s episode we examine three measures the Biden administration is squeezing in before chars,https://www.npr.org/2025/01/17/1225172104/biden-trump-fda-student-loans-capital-one-red-dye,Left-Center
15,student loans,2025-02-04,NBC News,As Trump considers ways to dismantle the Education Dept here s what to know about your student loans,With the Trump administration looking for ways to close parts or all of the U S,With the Trump administration looking for ways to close parts or all of the U S Department of Education many of the countrys million federal student loan borrowers are likely feeling on edge O chars,https://www.nbcnews.com/business/personal-finance/trump-considers-ways-dismantle-education-dept-know-student-loans-rcna190669,Left-Center
16,student loans,2025-02-11,ABC News (AU),Banks will be told to disregard student loans in mortgage tests,APRA will also clarify that property developers do not need to have sold all units off the plan to get a loan,Banks will be told not to count HECS HELP and other student loans in debt calculations for home loans under a federal government push which could boost the borrowing power of some first homebuyers chars,https://www.abc.net.au/news/2025-02-11/banks-to-be-told-to-disregard-student-loans-in-mortgage-tests/104925006,Not known
17,student loans,2025-02-13,Yahoo Entertainment,What Will Happen to Your Student Loans if Trump Closes the Department of Education,None,If you click Accept all we and our partners including who are part of the IAB Transparency amp Consent Framework will also store and or access information on a device in other words use chars,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1e4b45d1-c77a-45d7-8f31-908c570bf60a,Not known
18,student loans,2025-02-11,CBS News,Advice for student loan borrowers amid uncertainty surrounding U S Department of Education,President Trump is seeking to dismantle the Department of Education with the help of billionaire Elon Musk potentially causing major disruptions for Americans paying student loans CBS News business analyst Jill Schlesinger breaks down what to know,Watch CBS News Copyright CBS Interactive Inc All rights reserved Get browser notifications for breaking news live events and exclusive reporting Not NowTurn On,https://www.cbsnews.com/video/advice-for-student-loan-borrowers-amid-uncertainty-surrounding-u-s-department-of-education/,Left-Center
19,student loans,2025-01-28,Inside Higher Ed,Higher Ed Alarmed by Trump s Plan to Freeze Federal Grants,Higher Ed Alarmed by Trump s Plan to Freeze Federal Grants jessica blake Tue PM Pell Grants and student loans would have continued but other grant programs that support student success or childcare on campus would ve been on ho,President Trumps plan to temporarily freeze federal grants and loans set off a wave of confusion and concerns across higher ed Tuesday But just minutes before it was set to take effect a federal ju chars,https://www.insidehighered.com/news/government/politics-elections/2025/01/28/trumps-federal-funding-freeze-concerns-colleges,Left-Center
20,student loans,2025-02-12,Yahoo Entertainment,I m with in my k in student loans and no property is my retirement doomed,There s no room for mistakes now,When you are you are getting very close to retirement age Fidelity says you should aim to have eight times your salary saved by Although this is quite a lofty recommendation if you only ha chars,https://finance.yahoo.com/news/m-59-42-000-401-111200605.html,Not known
21,student loans,2025-02-16,Almostfearless.com,Mistakes That Could Cost You Thousands on Student Loans,Student loans can feel like a necessary evil You need them to get through school but if you re not careful they can cost you way more than they should And let s be honest who wants to throw away thousands of dollars on avoidable mistakes The good news is,Student loans can feel like a necessary evil You need them to get through school but if youre not careful they can cost you way more than they should And lets be honestwho wants to throw away tho chars,https://almostfearless.com/10-mistakes-that-could-cost-you-thousands-on-student-loans/,Not known
22,student loans,2025-02-01,Newsweek,How Student Loans Could Change Under Donald Trump,The fate of student loan forgiveness and relief rests with the new president What might he do,President Donald Trump has inherited a federal student loan system that looks considerably different from the one in place when he left office in early Former President Joe Biden s tenure in t chars,https://www.newsweek.com/how-student-loans-could-change-under-donald-trump-2023413,Right-Center
23,student loans,2025-02-08,Breitbart News,Capehart Biden Pushed the Limits of Executive Power to Help Trump s Trying to Destroy,On Friday s PBS NewsHour Washington Post Associate Editor and MSNBC host Jonathan Capehart responded to arguments that Democrats have no room to criticize President Donald Trump on executive power after what President Joe Biden did on student loans by sayi,On Friday s PBS NewsHour Washington Post Associate Editor and MSNBC host Jonathan Capehart responded to arguments that Democrats have no room to criticize President Donald Trump on executive power chars,https://www.breitbart.com/clips/2025/02/08/capehart-biden-pushed-the-limits-of-executive-power-to-help-trumps-trying-to-destroy/,Fake News
24,student loans,2025-02-10,Newsweek,Do You Still Have to Pay Student Loans if Department of Education is Abolished,Federal student loan borrowers may wonder whether they must still pay student loans if the Department of Education is abolished,Discussions about dismantling the U S Department of Education DoE have led to widespread speculation about the future of student loans While some believe the agency s elimination could lead to sw chars,https://www.newsweek.com/do-you-still-pay-student-loans-if-department-education-abolished-2028990,Right-Center
25,student loans,2025-02-05,Newsweek,Student Loans Likely Won t Go Away Under Trump Here s How to Pay Them Off,Why borrowers should still prioritize paying off student loans as uncertainty looms around the Department of Education,The debate over student loan policies has intensified as President Donald Trump s administration considers sweeping changes to the Department of Education Borrowers policymakers and educators are chars,https://www.newsweek.com/get-rid-student-loans-trump-views-department-education-uncertainty-2026773,Right-Center
26,student loans,2025-01-19,Cheezburger.com,Dad gives year old son towards wedding younger sister protests because he couldn t pay her student loans We cut her off financially,Fairness is a concept that can be difficult to stick to as a parent with multiple children Some moms and dads see no problem in being obvious with playing favorites which can often turn nasty in the long run and others try their best to treat all their kid,Fairness is a concept that can be difficult to stick to as a parent with multiple children Some moms and dads see no problem in being obvious with playing favorites which can often turn nasty in th chars,https://cheezburger.com/38782469/dad-gives-29-year-old-son-15000-towards-wedding-younger-sister-protests-because-he-couldnt-pay-her,Not known
27,student loans,2025-02-03,Newsweek,Americans Owe More in Student Loans Than Before Biden Huge Debt Forgiveness,Despite record levels of student loan forgiveness student debt totals are higher today than when President Biden took office,The total U S student loan debt has continued to rise despite former President Joe Biden s historic efforts to provide debt relief Data shows that while millions of borrowers have benefited from lo chars,https://www.newsweek.com/americans-owe-more-student-loans-despite-biden-debt-forgiveness-2025431,Right-Center
28,student loans,2025-01-28,Newsweek,Is FAFSA Paused Will Donald Trump s Federal Grant Pause Hit Student Loans,President Donald Trump issued a directive on Monday to temporarily suspend all federal grants and loans,President Donald Trump issued a directive on Monday to temporarily suspend all federal grants and loans potentially affecting trillions of dollars in government funding and disrupting public program chars,https://www.newsweek.com/donald-trump-federal-grant-student-loans-fafsa-2022121,Right-Center
29,student loans,2025-02-04,Newsweek,How Student Loans Will Be Impacted if Department of Education Closes Down,Experts spoke to Newsweek about what students can expect if the Trump administration abolishes the Department of Education,With the U S Department of Education in the crosshairs of the Trump administration the way millions of young Americans interact with the higher education system could be about to change Newsweek chars,https://www.newsweek.com/student-loans-department-education-close-2025939,Right-Center
30,student loans,2025-02-10,Memeorandum.com,Hours After Russell Vought Took Over Consumer Bureau He Shut Its Operations Stacy Cowley New York Times,Stacy Cowley New York Times Hours After Russell Vought Took Over Consumer Bureau He Shut Its Operations The agency had been one of Wall Street s most feared regulators with the power to issue rules on mortgages credit cards student loans and oth,memeorandum is an auto generated summary of the stories that US political commentators are discussing online right now Unlike sister sites Techmeme and Mediagazer it is not a human edited news out chars,https://www.memeorandum.com/250209/p63,Center
31,student loans,2025-02-13,The Daily Dot,I m freaking out Woman says you need to download your student loan records right away Here s why it s so important,With talk of changes to the Department of Education DOE a woman on TikTok is urging federal student loan borrowers to download their loan records before it s too late But why The Trump administration has floated the idea of shutting down the department,With talk of changes to the Department of Education DOE a woman on TikTok is urging federal student loan borrowers to download their loan records before its too late But why The Trump administr chars,https://www.dailydot.com/news/federal-student-loans-warning/,Left
32,student loans,2025-02-13,Teen Vogue,What Will Happen to Your Student Loans if Trump Closes the Department of Education,Trump s plans to close the Department of Education would put Pell grants and other need based aid programs at risk which would disproportionately harm low income students,The Trump administration has promised to eliminate the Department of Education shifting more responsibility back to the states States already have significant control over education particularly wh chars,https://www.teenvogue.com/story/what-will-happen-to-student-loans-trump,Left
33,student loans,2025-01-29,Celebitchy.com,Donald Trump s federal spending freeze locked people out of the Medicaid portal,This week has already been a ball of malevolent chaos and I don t blame people for not knowing how to react or whether they should already be in a full blown panic This week Donald Trump froze federal funding of everything from SNAP food stamps Pell Gra,This week has already been a ball of malevolent chaos and I dont blame people for not knowing how to react or whether they should already be in a full blown panic This week Donald Trump froze fede chars,https://www.celebitchy.com/906826/donald_trumps_federal_spending_freeze_locked_people_out_the_medicaid_portal/,Not known
34,student loans,2025-01-20,New York Post,How I saved of my income to help pay off student loans,Bradley Alagna started making sacrifices after being left in worth of student loans debt and he was only earning an hour,A man saved of his annual income by living frugally and only has one plate no TV and has used the same towels for years Bradley Alagna started making sacrifices after being left in chars,https://nypost.com/2025/01/20/lifestyle/how-i-saved-77-of-my-income-to-help-pay-off-student-loans/,Right-Center
35,student loans,2025-02-02,NPR,Is Trump testing limits or trying to eliminate them,Most presidents want as much power as they can get And it s not unusual to see them claim authority that they don t in the end actually have br br We saw it just last term when former President Biden tried to unilaterally forgive hundreds of billions o,US President Donald Trumpshows an executive order he signed in the Oval Office of the White House on January in Washington DC ROBERTO SCHMIDT AFP via Getty Images Most presidents want as chars,https://www.npr.org/2025/02/02/1228578466/is-trump-testing-limits-or-trying-to-eliminate-them,Left-Center
36,student loans,2025-01-21,New York Post,I make K a month selling my clothes I even paid off K in student loans,Kelsey Mikula started buying and reselling clothes in while she was studying zoology at Liberty University Lynchburg Virginia US,A woman makes a month on average by buying and reselling clothes on eBay and Poshmark Kelsey Mikula started buying and reselling clothes in while she was studying zoology at Liber chars,https://nypost.com/2025/01/21/lifestyle/i-paid-make-12k-a-month-selling-my-clothes-i-even-paid-off-80k-in-student-loans/,Right-Center
37,student loans,2025-01-28,NBC News,White House freeze on federal aid will not affect student loans Education Department says,The White House on Monday ordered a pause on federal grants and loans according to a memo but the Department of Education said the freeze will not affect student loans or financial aid for college,The White House on Monday ordered a pause on federal grants and loans according to a memo but the Department of Education said the freeze will not affect student loans or financial aid for college chars,https://www.nbcnews.com/business/business-news/white-house-freeze-federal-aid-will-not-affect-student-loans-education-rcna189685,Left-Center
38,student loans,2025-01-21,Biztoc.com,My retirement is going to be a disaster I m and have in my k I earn Am I doomed,My student loans are burying me,My student loans are burying me This story appeared on marketwatch com,https://biztoc.com/x/3ba1ae34fccd5998,Not known
39,student loans,2025-01-17,Biztoc.com,Student loans saving accounts and goodbye to artificial red dye,Student loans saving accounts and goodbye to artificial red dye It s Indicators of the Week Our weekly look at some of the most fascinating numbers from the news On today s episode we examine three measures the Biden administration is squeezing in be,Student loans saving accounts and goodbye to artificial red dyeIt s Indicators of the Week Our weekly look at some of the most fascinating numbers from the news On today s episode we examine chars,https://biztoc.com/x/5623479edeb51369,Not known
40,student loans,2025-01-30,Biztoc.com,How to make principal only payments on student loans,Making principal only payments on student loans either monthly or just occasionally can help speed up the payback time and lower your overall borrowing costs But just making extra payments on your loan won t necessarily lower your loan s principal balance,Making principal only payments on student loans either monthly or just occasionally can help speed up the payback time and lower your overall borrowing costs But just making extra payments on your chars,https://biztoc.com/x/fddf9bde7532f602,Not known
41,student loans,2025-02-01,Biztoc.com,How Student Loans Could Change Under Donald Trump,President Donald Trump has inherited a federal student loan system that looks considerably different from the one in place when he left office in early Former President Joe Biden s tenure in the White House focused heavily on reducing the education debt,President Donald Trump has inherited a federal student loan system that looks considerably different from the one in place when he left office in early Former President Joe Biden s tenure in the chars,https://biztoc.com/x/0ccaa5fe1b91e858,Not known
42,student loans,2025-01-26,Business Insider,I can afford my daughter s college tuition but I m having her take out student loans I want her to be financially independent,I saved up a college fund for my daughter but I m not giving her access to it I m having her take out student loans so she can learn about money,College was one of the biggest challenges when parenting my daughter High school was easy because we were a small tight knit family that followed a schedule My wife and I would do school drop of chars,https://www.businessinsider.com/daughter-student-loans-despite-parent-afford-college-tuition-2025-1,Left-Center
43,student loans,2025-01-29,Biztoc.com,What the Fed s rate policy means for your finances,Here s how the central bank s interest rate stance influences car loans credit cards mortgages savings and student loans,Heres how the central banks interest rate stance influences car loans credit cards mortgages savings and student loans This story appeared on seattletimes com,https://biztoc.com/x/875642d84b842e16,Not known
44,student loans,2025-01-26,CNET,Student Loan Borrowers Can t Afford to Wait Any Longer to Do These Things,Even amid uncertainty about the future of SAVE you can take control of your student loans,The past few years have been rocky for student loan borrowers As a new White House administration settles in you might be wondering what that means for your loans The Biden administration forgave chars,https://www.cnet.com/personal-finance/loans/student-loan-borrowers-cant-afford-to-wait-any-longer-to-do-these-6-things/,Center
45,student loans,2025-01-21,GlobeNewswire,Lever Student Loans Redefines Debt Management for a Bold New Era,Lever Student Loans redefines debt management with AI driven solutions empowering borrowers in a proactive era of repayment under new federal priorities,LOS ANGELES Jan GLOBE NEWSWIRE AI Unlimited Group Inc OTCQB AIUG the innovator behind AI driven platforms spanning fintech travel and investment is thrilled to announce ground chars,https://www.globenewswire.com/news-release/2025/01/21/3012649/0/en/Lever-Student-Loans-Redefines-Debt-Management-for-a-Bold-New-Era.html,Center
46,student loans,2025-02-04,Biztoc.com,As Trump considers ways to dismantle the Education Dept here s what to know about your student loans,The Trump administration is looking to shut down the Education Department Here s what it could mean for the million Americans with federal student loans,The Trump administration is looking to shut down the Education Department Here s what it could mean for the million Americans with federal student loans This story appeared on cnbc com chars,https://biztoc.com/x/7cc1d37682c258e8,Not known
47,student loans,2025-02-10,Cheezburger.com,Friend drops out of group ski trip claiming her grandma is in the hospital friends refuse refund because she bailed to go on vacation with her boyfriend instead,When the vacation finally makes it out of the group chat friend group morale is at an all time high and wallets are at an all time low But hey you only live once right That s the energy everyone should have as young adults just trying to make as many me,When the vacation finally makes it out of the group chat friend group morale is at an all time high and wallets are at an all time low But hey you only live once right That s the energy everyon chars,https://cheezburger.com/39103237/friend-drops-out-of-group-ski-trip-claiming-her-grandma-is-in-the-hospital-friends-refuse-600-refund,Not known
48,student loans,2025-01-28,Biztoc.com,Is FAFSA Paused Will Donald Trump s Federal Grant Pause Hit Student Loans,President Donald Trump issued a directive on Monday to temporarily suspend all federal grants and loans potentially affecting trillions of dollars in government funding and disrupting public programs that millions across the country rely on According to the,President Donald Trump issued a directive on Monday to temporarily suspend all federal grants and loans potentially affecting trillions of dollars in government funding and disrupting public program chars,https://biztoc.com/x/e7a2cb167e3efb68,Not known
49,student loans,2025-01-28,Biztoc.com,White House freeze on federal aid will not affect student loans Education Department says,The White House is pausing federal grants and loans according to a memo sent out Monday night but the freeze will not impact student loans or financial aid for college The freeze which could affect billions of dollars in aid noted an exception for Social,The White House is pausing federal grants and loans according to a memo sent out Monday night but the freeze will not impact student loans or financial aid for college The freeze which could affec chars,https://biztoc.com/x/596e5176955f2e85,Not known
50,student loans,2025-01-28,Biztoc.com,From Medicaid to student loans scope of Trump budget gambit leaves Americans scrambling,Move to halt federal grant funding will create a constitutional crisis a top Senate Democrat said,Move to halt federal grant funding will create a constitutional crisis a top Senate Democrat said This story appeared on marketwatch com,https://biztoc.com/x/af7ffe74db563184,Not known
51,student loans,2025-01-29,Financial Post,Despite chaos over Trump White House s funding pause FAFSA forms and student loans still available,A temporary freeze imposed briefly this week by the White House on federal grants and loans left many students wondering about the impact to the FAFSA form used to apply for financial aid President Donald Trump s administration on Wednesday rescinded the mem,President Donald Trumps administration on Wednesday rescinded the memo freezing spending The U S Department of Education said even if the pause had taken effect it would not have applied to direct chars,https://financialpost.com/pmn/despite-chaos-over-trump-white-houses-funding-pause-fafsa-forms-and-student-loans-still-available,Right-Center
52,student loans,2025-02-04,Biztoc.com,How Student Loans Will Be Impacted if Department of Education Closes Down,Experts spoke to Newsweek about what students can expect if the Trump administration abolishes the Department of Education,Experts spoke to Newsweek about what students can expect if the Trump administration abolishes the Department of Education This story appeared on newsweek com,https://biztoc.com/x/5891222aa031399f,Not known
53,student loans,2025-02-05,Biztoc.com,Student Loans Likely Won t Go Away Under Trump Here s How to Pay Them Off,The debate over student loan policies has intensified as President Donald Trump s administration considers sweeping changes to the Department of Education Borrowers policymakers and educators are closely watching developments that could affect repayment pla,The debate over student loan policies has intensified as President Donald Trump s administration considers sweeping changes to the Department of Education Borrowers policymakers and educators are cl chars,https://biztoc.com/x/4e3d5c3af0b63def,Not known
54,student loans,2025-02-03,Biztoc.com,Americans Owe More in Student Loans Than Before Biden Huge Debt Forgiveness,The total U S student loan debt has continued to rise despite former President Joe Biden s historic efforts to provide debt relief Data shows that while millions of borrowers have benefited from loan forgiveness programs new loans continue to outpace repay,The total U S student loan debt has continued to rise despite former President Joe Biden s historic efforts to provide debt relief Data shows that while millions of borrowers have benefited from lo chars,https://biztoc.com/x/1709b18ee8598b7f,Not known
55,student loans,2025-01-28,Biztoc.com,Trump s spending freeze circus won t affect your health coverage or student loans probably,It was a profoundly confusing Tuesday in Washington After ostensibly ordering federal agencies to freeze vast swaths of government spending the White House partially walked back its move in the afternoon claiming it had only meant to pause a more narrow se,It was a profoundly confusing Tuesday in Washington After ostensibly ordering federal agencies to freeze vast swaths of government spending the White House partially walked back its move in the afte chars,https://biztoc.com/x/967306aa9c03b72d,Not known
56,student loans,2025-01-29,Biztoc.com,Despite chaos over Trump White House s funding pause FAFSA forms and student loans still available,A temporary freeze imposed briefly this week by the White House on federal grants and loans left many students wondering about the impact to the FAFSA form used to apply for financial aid President Donald Trump s administration on Wednesday rescinded the mem,A temporary freeze imposed briefly this week by the White House on federal grants and loans left many students wondering about the impact to the FAFSA form used to apply for financial aid President D chars,https://biztoc.com/x/0ac5ce7d1d9277a3,Not known
57,student loans,2025-02-06,Biztoc.com,What Happens to My Student Loans if Trump Gets Rid of the Department of Education,Although President Trump has only been in office for a matter of weeks he s already trying to make big changes And one of those changes is to upend the Department of Education by either closing parts of it or eliminating it for good Clearly that could hav,Although President Trump has only been in office for a matter of weeks he s already trying to make big changes And one of those changes is to upend the Department of Education by either closing par chars,https://biztoc.com/x/fc7e1b2230a212e5,Not known
58,student loans,2025-01-28,Biztoc.com,White House freeze on federal aid will not affect student loans Education Department says,The White House on Monday ordered a pause on federal grants and loans according to a memo but the Department of Education said the freeze will not affect student loans or financial aid for college,The White House on Monday ordered a pause on federal grants and loans according to a memo but the Department of Education said the freeze will not affect student loans or financial aid for college chars,https://biztoc.com/x/5472116d5bc4429b,Not known
59,student loans,2025-01-28,Biztoc.com,Federal Spending Freeze Does Not Apply to Student Loans and Pell Grants,The order had generated a lot of fear and chaos for students and their families said Persis Yu deputy executive director at the Student Borrower Protection Center an advocacy group,The order had generated a lot of fear and chaos for students and their families said Persis Yu deputy executive director at the Student Borrower Protection Center an advocacy group This story ap chars,https://biztoc.com/x/d94b89db742344df,Not known
60,student loans,2025-01-28,Biztoc.com,Trump s order to freeze federal grants threatens Medicaid student loans What we know so far,Trump s order to freeze federal grants threatens Medicaid student loans What we know so far State and local governments have been thrown into chaos trying to interpret a pause in hundreds of billions of dollars worth of federal funding Bloomberg,Trumps order to freeze federal grants threatens Medicaid student loans What we know so farState and local governments have been thrown into chaos trying to interpret a pause in hundreds of billions chars,https://biztoc.com/x/74a0d962b4d4e257,Not known
61,student loans,2025-01-29,Biztoc.com,Despite chaos over Trump White House s funding pause FAFSA forms and student loans still available,A temporary freeze imposed briefly this week by the White House on federal grants and loans left many students wondering about the impact to the FAFSA form used to apply for financial aid,A temporary freeze imposed briefly this week by the White House on federal grants and loans left many students wondering about the impact to the FAFSA form used to apply for financial aid This stor chars,https://biztoc.com/x/55525b76919966d3,Not known
62,student loans,2025-02-10,Biztoc.com,Do You Still Have to Pay Student Loans if Department of Education is Abolished,Discussions about dismantling the U S Department of Education DoE have led to widespread speculation about the future of student loans While some believe the agency s elimination could lead to sweeping policy changes experts largely agree that student lo,Discussions about dismantling the U S Department of Education DoE have led to widespread speculation about the future of student loans While some believe the agency s elimination could lead to sw chars,https://biztoc.com/x/e1773cbba5a4cd49,Not known
63,student loans,2025-02-13,Biztoc.com,What dismantling the Department of Education could mean for colleges student loans and college access,Plans by the Trump administration are underway to close parts or all of the Department of Education which is responsible for underwriting student loans disbursing college aid and ensuring equal access to education President Donald Trump campaigned on a ple,Plans by the Trump administration are underway to close parts or all of the Department of Education which is responsible for underwriting student loans disbursing college aid and ensuring equal acc chars,https://biztoc.com/x/315748c69c8e5235,Not known
64,student loans,2025-01-28,Raw Story,My phone has been blowing up Reporter details massive chaos unleashed by Trump orders,President Donald Trump s order pausing all federal grants and loans has created chaos around the country as charities universities and other institutions now have no idea if they will have the resources they need to complete their missions Washington Post r,President Donald Trump s order pausing all federal grants and loans has created chaos around the country as charities universities and other institutions now have no idea if they will have the reso chars,https://www.rawstory.com/trump-crimes-2671011808/,Left
65,student loans,2025-02-16,CNET,Make Any Student Loan Payments Last Year You Can Probably Claim This Tax Deduction,If you re one of the many Americans still paying off your student loans there s a special tax deduction you should know about,Looking for something to make you feel a little better about the grind of paying off your student loans month after month This tax deduction might be just what the doctor ordered Like a lot of fol chars,https://www.cnet.com/personal-finance/taxes/make-any-student-loan-payments-last-year-you-can-probably-claim-this-tax-deduction/,Center
66,student loans,2025-02-09,Biztoc.com,Hours After Russell Vought Took Over Consumer Bureau He Shut Its Operations,The agency had been one of Wall Street s most feared regulators with the power to issue rules on mortgages credit cards student loans and other areas affecting Americans financial lives,The agency had been one of Wall Streets most feared regulators with the power to issue rules on mortgages credit cards student loans and other areas affecting Americans financial lives This stor chars,https://biztoc.com/x/0058dde757ac5ee7,Not known
67,student loans,2025-02-15,CNET,You Can t Be Forced to Repay Forgiven Student Loans Unless This Happens,You re likely in the clear if your student loan debt is already wiped out but current borrowers may soon be out of luck,President Donald Trump has made it clear that he s not a fan of most student loan forgiveness programs But could his administration force borrowers to repay student loans that have already been forg chars,https://www.cnet.com/personal-finance/you-cant-be-forced-to-repay-forgiven-student-loans-unless-this-happens/,Center
